date,8:00~9:00_x,9:00~10:00_x,10:00~11:00_x,11:00~12:00_x,12:00~13:00_x,13:00~14:00_x,14:00~15:00_x,15:00~16:00_x,16:00~17:00_x,17:00~18:00_x,18:00~19:00_x,19:00~20:00_x,20:00~21:00_x,21:00~22:00_x,8:00~9:00_y,9:00~10:00_y,10:00~11:00_y,11:00~12:00_y,12:00~13:00_y,13:00~14:00_y,14:00~15:00_y,15:00~16:00_y,16:00~17:00_y,17:00~18:00_y,18:00~19:00_y,19:00~20:00_y,20:00~21:00_y,21:00~22:00_y
2009/12/24(四),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2009/12/25(五),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,場地調整
2009/12/26(六),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2009/12/27(日),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,不開放,不開放,不開放,不開放,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/12/28(一),維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,香港城市大學手球交流賽,香港城市大學手球交流賽,香港城市大學手球交流賽,香港城市大學手球交流賽
2010/12/29(二),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/12/30(三),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,香港城市大學手球交流賽,香港城市大學手球交流賽,香港城市大學手球交流賽,香港城市大學手球交流賽
2010/12/31(四),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/1/01(五),元旦開放時間9AM~10PM,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/1/02(六),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/1/03(日),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,不開放,不開放,不開放,不開放,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/1/04(一),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/1/05(二),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/1/06(三),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/1/07(四),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/1/08(五),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/09(六),香港中文大學兩校排球賽,香港中文大學兩校排球賽,香港中文大學兩校排球賽,香港中文大學兩校排球賽,場地調整,場地調整,有場,有場,有場,有場,有場,有場,有場,有場,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/10(日),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,不開放,不開放,不開放,不開放,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/1/11(一),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/1/12(二),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/1/13(三),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/1/14(四),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/15(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/16(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/17(日),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,不開放,不開放,不開放,不開放,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/18(一),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/19(二),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練
2010/1/20(三),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練
2010/1/21(四),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練
2010/1/22(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,有場,有場,有場,有場,有場,有場,校隊訓練,校隊訓練,校隊訓練,校隊訓練,有場,有場,有場,有場
2010/1/23(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/1/24(日),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,不開放,不開放,不開放,不開放,不開放,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,不開放,不開放,不開放,不開放
2010/1/25(一),維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,有場,有場,有場,有場,有場,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練
2010/1/26(二),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練
2010/1/27(三),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練
2010/1/28(四),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/1/29(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/30(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/31(日),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/01(一),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/02(二),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/03(三),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/04(四),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/2/05(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/06(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/07(日),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,不開放,不開放,不開放,不開放,不開放,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,不開放,不開放,不開放,不開放
2010/2/08(一),地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/09(二),地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/10(三),地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/2/11(四),地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/2/12(五),地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,地板修繕,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/2/13(六),農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕
2010/2/14(日),大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一
2010/2/15(一),大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二
2010/2/16(二),大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三
2010/2/17(三),大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四
2010/2/18(四),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,春節期間開放至18:00,春節期間開放至18:00,春節期間開放至18:00,春節期間開放至18:00,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/2/19(五),有場,有場,有場,有場,有場,有場,有場,有場,有場,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/20(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/21(日),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/22(一),維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,有場,有場,有場,有場,有場,維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,場地調整,有場,有場,有場,有場
2010/2/23(二),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/2/24(三),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/2/25(四),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/26(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/27(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/28(日),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,不開放,不開放,不開放,不開放
2010/3/01(一),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/02(二),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/03(三),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/04(四),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/05(五),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/3/06(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會
2010/3/07(日),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會
2010/3/08(一),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/09(二),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節
2010/3/10(三),杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節
2010/3/11(四),杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節
2010/3/12(五),杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節
2010/3/13(六),杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節
2010/3/14(日),杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節
2010/3/15(一),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/16(二),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,院際盃籃球賽,院際盃籃球賽,院際盃籃球賽,院際盃籃球賽
2010/3/17(三),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,體育教學,體育教學,體育教學,體育教學,體育教學,體育教學,體育教學,體育教學,體育教學,體育教學,院際盃籃球賽,院際盃籃球賽,院際盃籃球賽,院際盃籃球賽
