date,8:00~9:00,9:00~10:00,10:00~11:00,11:00~12:00,12:00~13:00,13:00~14:00,14:00~15:00,15:00~16:00,16:00~17:00,17:00~18:00,18:00~19:00,19:00~20:00,20:00~21:00,21:00~22:00
2010/12/28(一),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,香港城市大學手球交流賽,香港城市大學手球交流賽,香港城市大學手球交流賽,香港城市大學手球交流賽
2010/12/29(二),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/12/30(三),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,香港城市大學手球交流賽,香港城市大學手球交流賽,香港城市大學手球交流賽,香港城市大學手球交流賽
2010/12/31(四),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/1/01(五),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/1/02(六),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/1/03(日),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/1/04(一),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/1/05(二),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/1/06(三),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/1/07(四),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/1/08(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/09(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/10(日),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/1/11(一),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/1/12(二),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/1/13(三),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/1/14(四),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/15(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/16(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/17(日),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/18(一),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/19(二),校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練
2010/1/20(三),校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練
2010/1/21(四),校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練
2010/1/22(五),有場,有場,有場,有場,有場,有場,校隊訓練,校隊訓練,校隊訓練,校隊訓練,有場,有場,有場,有場
2010/1/23(六),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/1/24(日),不開放,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,不開放,不開放,不開放,不開放
2010/1/25(一),校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練
2010/1/26(二),校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練
2010/1/27(三),校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練,校隊訓練
2010/1/28(四),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/1/29(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/30(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/1/31(日),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/01(一),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/02(二),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/03(三),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/04(四),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/2/05(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/06(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/07(日),不開放,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,不開放,不開放,不開放,不開放
2010/2/08(一),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/09(二),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/10(三),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/2/11(四),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/2/12(五),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/2/13(六),農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕,農曆除夕
2010/2/14(日),大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一,大年初一
2010/2/15(一),大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二,大年初二
2010/2/16(二),大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三,大年初三
2010/2/17(三),大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四,大年初四
2010/2/18(四),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/2/19(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/20(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/21(日),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/22(一),維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,場地調整,有場,有場,有場,有場
2010/2/23(二),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/2/24(三),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/2/25(四),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/26(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/27(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/2/28(日),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,不開放,不開放,不開放,不開放
2010/3/01(一),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/02(二),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/03(三),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/04(四),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/05(五),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/3/06(六),大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會
2010/3/07(日),大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會,大獸盃運動會
2010/3/08(一),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/09(二),杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節
2010/3/10(三),杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節
2010/3/11(四),杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節
2010/3/12(五),杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節
2010/3/13(六),杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節
2010/3/14(日),杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節,杜鵑花節
2010/3/15(一),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/16(二),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,院際盃籃球賽,院際盃籃球賽,院際盃籃球賽,院際盃籃球賽
2010/3/17(三),體育教學,體育教學,體育教學,體育教學,體育教學,體育教學,體育教學,體育教學,體育教學,體育教學,院際盃籃球賽,院際盃籃球賽,院際盃籃球賽,院際盃籃球賽
2010/3/18(四),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/3/19(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/3/20(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/3/21(日),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/3/22(一),維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,場地調整,有場,有場,有場,有場
2010/3/23(二),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/24(三),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/25(四),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/26(五),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/3/27(六),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/3/28(日),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,不開放,不開放,不開放,不開放
2010/3/29(一),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/30(二),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/3/31(三),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/4/01(四),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/4/02(五),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/4/03(六),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/4/04(日),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,不開放,不開放,不開放,不開放
2010/4/05(一),清明節,清明節,清明節,清明節,清明節,清明節,清明節,清明節,清明節,清明節,清明節,清明節,清明節,清明節
2010/4/06(二),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/4/07(三),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/4/08(四),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/4/09(五),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/4/10(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/4/11(日),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/4/12(一),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/4/13(二),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/4/14(三),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/4/15(四),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/4/16(五),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/4/17(六),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/4/18(日),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,不開放,不開放,不開放,不開放
2010/4/19(一),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/4/20(二),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/4/21(三),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/4/22(四),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/4/23(五),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/4/24(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/4/25(日),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/4/26(一),維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,場地調整,有場,有場,有場,有場
2010/4/27(二),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/4/28(三),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/4/29(四),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/4/30(五),有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/5/01(六),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/5/02(日),不開放,有場,有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,不開放,不開放,不開放,不開放
2010/5/03(一),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/04(二),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/05(三),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/06(四),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/07(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/08(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/09(日),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/10(一),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/5/11(二),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/5/12(三),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/5/13(四),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/5/14(五),有場,有場,有場,有場,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整
2010/5/15(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/16(日),不開放,有場,有場,有場,有場,有場,有場,有場,有場,有場,不開放,不開放,不開放,不開放
2010/5/17(一),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/5/18(二),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/5/19(三),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/5/20(四),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/5/21(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/22(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/23(日),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/24(一),維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,維修日,有場,有場,有場,有場,有場
2010/5/25(二),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/5/26(三),有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場,有場
2010/5/27(四),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/28(五),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/29(六),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/30(日),大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動,大型活動
2010/5/31(一),場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,場地調整,有場,有場,有場,有場
2010/6/01(二),畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮
2010/6/02(三),畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮
2010/6/03(四),畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮
2010/6/04(五),畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮
2010/6/05(六),畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮
2010/6/06(日),畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮,畢業典禮
